20221212	23:17:03	0ea955bc-12ca-461b-bee2-44ffe2f7241a	/	GET
20221212	23:17:09	1e798af6-10f3-4a9a-a265-6a34d85f2116	/favicon.ico	GET
20221212	23:17:30	44e03d5d-0e44-4a5d-bf53-d7d30f4d9c3e	/data/data.json	GET
20221212	23:17:46	1ef20efb-59e2-4d16-a7ce-b1919827db40	/Background.jpg	GET
20221212	23:18:23	ec1b1549-da82-45f1-8476-addb59542d1d	/Background.jpg	GET
20221212	23:19:13	c30806a9-0877-4903-8695-492c003ba9b7	/	GET
20221212	23:19:33	683566af-fe2c-4af7-921f-ea207cbf2728	/	GET
20221213	16:22:38	112779d7-2a37-4888-95c5-ace6a08a3c61	GET 		 undefined /
20221213	16:22:38	08376539-a48f-4c32-baba-84dbeec922f9	GET 		 undefined /css/style.css
20221213	16:23:10	103c5663-0b00-4ace-9a3e-591d59556933	GET 		 undefined /new-page
20221213	16:23:11	492613c3-332d-4204-950b-4d8027a7e566	GET 		 undefined /css/styles.css
20221213	16:23:30	db117650-7b64-456f-be1a-84891b99abe8	GET 		 undefined /new-page
20221213	16:23:30	aa53aeb1-b934-4938-bdcf-ee290ea74299	GET 		 undefined /css/styles.css
20221213	16:24:01	74b06d9d-b9ca-4d14-835d-feb9e217ad5f	GET 		 undefined /new-page
20221213	16:24:01	55eba17e-f1ba-44d9-b767-a496b58ddf18	GET 		 undefined /css/style.css
20221213	16:24:16	8ffedbd5-deca-4271-9250-694787670092	GET 		 undefined /new-ewwdw
20221213	16:24:16	21b68806-c5b6-408c-b4fc-a2f512f4adcf	GET 		 undefined /css/style.css
20221213	16:26:48	c7448dc3-d587-45be-ba6f-0c5c8c2b0684	GET 		 undefined /new-ewwdw
20221213	16:26:48	e8116208-b5a6-4c3d-8192-e9ddfd501581	GET 		 undefined /css/style.css
20221213	17:22:50	63c14bc0-225f-4ff7-828f-c5121d97437b	OPTIONS 		 https://www.google.co.in /
20221213	17:22:50	1b1e6f7e-44e4-4b04-90c7-8f7eb90a3faf	GET 		 https://www.google.co.in /
20221214	10:14:37	0e3f0355-6c5b-4f97-a4cb-88a453d945d2	OPTIONS 		 https://www.google.co.in /
20221214	10:14:37	2ffdd702-eeba-47ce-9555-1ab853da277c	GET 		 https://www.google.co.in /
20221214	10:15:00	4518d3c9-db1c-4fe9-98b5-3e51970da78e	OPTIONS 		 https://www.google.co.in /
20221214	10:15:00	4d8ed75e-54d9-4158-9829-a75e34a1c957	GET 		 https://www.google.co.in /
20221214	11:10:57	8343bc1e-5f26-40ab-9545-0aec11ccd37f	GET 		 undefined /
20221214	11:11:17	a2c8ab93-d669-4233-8481-2b4d2510c323	GET 		 undefined /
20221214	11:11:19	651b91ad-9fb0-4d42-a4d2-46ef34a2f272	GET 		 undefined /
20221214	11:11:20	a96b4936-e924-4b4d-8399-57f0088450f6	GET 		 undefined /
20221214	11:11:20	5a4c11b4-3081-49ea-bf32-e2b19202aa44	GET 		 undefined /
20221214	11:11:25	7e92291e-b4e0-4397-bed4-7b88a7cf2a2b	GET 		 undefined /
20221214	11:11:41	37225c2e-328f-4724-8ba7-6b689bc5572a	GET 		 undefined /
20221214	11:11:44	612d42ea-8d9f-493d-9948-77aaaa728acf	GET 		 undefined /
20221214	11:12:38	7cf3a5a3-aebd-4796-afbe-325e1127e76a	GET 		 undefined /
20221214	11:13:11	6c69fe03-1c1e-4719-8ec0-e2cea0324708	GET 		 undefined /
20221214	11:13:12	77a56bda-8e34-4241-9fb3-8095f66ba9de	GET 		 undefined /
20221214	11:13:37	2947907c-d69f-44ea-af15-97b27ac912d3	GET 		 undefined /data/data.json
20221214	11:14:53	30541420-5e74-4f6f-8f8a-4ec7880fbe4e	GET 		 undefined /
20221214	11:15:41	f0bdcf37-e882-4e6a-a2f7-f3587b205f4f	GET 		 undefined /
20221214	11:15:41	77339304-c879-4a7f-933a-8169e213946a	GET 		 undefined /css/style.css
20221214	11:15:41	fde576a6-2a50-40e7-8af3-9ce63ed64811	GET 		 undefined /favicon.ico
20221214	11:24:42	4a69647e-90b6-4b23-82e9-0f559e75a10b	GET 		 undefined /
20221214	11:24:42	d0639f7c-45a0-4e36-afcd-acd90b4d8e22	GET 		 undefined /css/style.css
20221214	11:24:59	70c25d18-122a-422e-8cdb-30f4394207a9	GET 		 undefined /dejsaksa
